ShortName,Accper,Typrep,Source,ROE
000001,平安银行,2025/12/31,A,0.077348
000004,*ST 国华,2025/12/31,A,0.123418
000007,全新好,2025/12/31,A,0.003216
000009,中国宝安,2025/12/31,A,0.059054
000011,深物业A,2025/12/31,A,0.001451
000014,沙河股份,2025/12/31,A,-0.098052
000017,深中华A,2025/12/31,A,0.105098
000020,深华发A,2025/12/31,A,0.080713
000025,特力A,2025/12/31,A,0.070887
000027,深圳能源,2025/12/31,A,0.047058
000029,深深房A,2025/12/31,A,0.028694
000031,大悦城,2025/12/31,A,-0.0623
000034,神州数码,2025/12/31,A,0.047385
000036,华联控股,2025/12/31,A,0.016455
000039,中集集团,2025/12/31,A,0.020017
000045,深纺织A,2025/12/31,A,0.022286
000049,德赛电池,2025/12/31,A,0.031743
000055,方大集团,2025/12/31,A,-0.091916
000058,深赛格,2025/12/31,A,0.026756
000060,中金岭南,2025/12/31,A,0.040168
000062,深圳华强,2025/12/31,A,0.070875
000065,北方国际,2025/12/31,A,0.061742
000068,华控赛格,2025/12/31,A,-0.091291
000070,特发信息,2025/12/31,A,-0.227922
000088,盐田港,2025/12/31,A,0.075736
000090,天健集团,2025/12/31,A,0.001956
000099,中信海直,2025/12/31,A,0.052249
000151,中成股份,2025/12/31,A,0.559589
000155,川能动力,2025/12/31,A,0.050384
000157,中联重科,2025/12/31,A,0.085295
000159,国际实业,2025/12/31,A,0.018444
000301,东方盛虹,2025/12/31,A,0.003112
000338,潍柴动力,2025/12/31,A,0.104381
000401,金隅冀东,2025/12/31,A,0.00434
000403,派林生物,2025/12/31,A,0.051915
000407,胜利股份,2025/12/31,A,0.060685
000409,云鼎科技,2025/12/31,A,0.061097
000411,英特集团,2025/12/31,A,0.104487
000417,合百集团,2025/12/31,A,0.03665
000420,吉林化纤,2025/12/31,A,0.006049
000422,湖北宜化,2025/12/31,A,0.106631
000425,徐工机械,2025/12/31,A,0.107957
000428,华天酒店,2025/12/31,A,-0.339684
000430,*ST 张股,2025/12/31,A,-0.416717
000498,山东路桥,2025/12/31,A,0.077988
000503,国新健康,2025/12/31,A,-0.40084
000505,京粮控股,2025/12/31,A,-0.093153
000507,珠海港,2025/12/31,A,0.043067
000510,新金路,2025/12/31,A,-0.19653
000514,渝开发,2025/12/31,A,0.002015
000517,荣安地产,2025/12/31,A,-0.243804
000519,中兵红箭,2025/12/31,A,0.005787
000521,长虹美菱,2025/12/31,A,0.066218
000524,岭南控股,2025/12/31,A,0.03235
000526,学大教育,2025/12/31,A,0.204908
000529,广弘控股,2025/12/31,A,0.055215
000531,穗恒运A,2025/12/31,A,0.033752
000533,顺钠股份,2025/12/31,A,0.123019
000536,华映科技,2025/12/31,A,-0.920971
000538,云南白药,2025/12/31,A,0.129272
000541,佛山照明,2025/12/31,A,0.020967
000544,中原环保,2025/12/31,A,0.091157
000546,金圆股份,2025/12/31,A,-0.07084
000548,湖南投资,2025/12/31,A,0.020484
000551,创元科技,2025/12/31,A,0.106969
000553,安道麦A,2025/12/31,A,-0.059499
000555,神州信息,2025/12/31,A,0.008118
000558,天府文旅,2025/12/31,A,-0.016324
000560,我爱我家,2025/12/31,A,-0.009655
