InstitutionID,Symbol,ShortName,EndDate,TotalShare,UnCriculationShares,CirculatingShares,LmtdStateOwnedShares,LmtdStateOwnedSharesRatio,EquityStructureDiversity,MixedEquityStructureOrNOT,NSttOwnedShrhlderRatioSum,OwnershipConcentration,NSttOwnedShrhlderPartic,EquityBalance,EquityIntegration,EquityStrucHerfindalIndex,EquityStrucEntropyIndex,Score_NonStateCapital,Score_EquityDiversity,Score_EquityBalance,Score_EquityIntegration,Score_OpenGovernance,MixedOwnershipScore,MixedOwnershipLevel,ReformStatus
107721,002640,跨境通,2025-12-31,1558041330.0,9779325.0,1548262005.0,,,3.0,0,9.63,17.59,0.5475,120.9799,120.9799,0.4679,0.8209,8.04,12.95,16.4,12.24,7.74,57.37,中度混改,尚未发生混改
101642,000917,电广传媒,2024-12-31,1417556338.0,96975.0,1417459363.0,,,5.0,0,7.84,25.35,0.3093,47.0588,44.7744,0.5121,0.9759,5.57,18.96,13.41,9.37,8.77,56.08,中度混改,尚未发生混改
101581,000610,西安旅游,2024-12-31,236747901.0,1258907.0,235488994.0,,,5.0,0,10.0,36.57,0.2734,37.6364,37.6364,0.5581,0.8935,6.24,18.47,12.62,8.86,9.68,55.87,中度混改,尚未发生混改
103201,300077,国民技术,2025-12-31,583126700.0,16798800.0,566327900.0,,,3.0,0,7.3,7.3,1.0,275.4717,,0.4777,0.8812,8.13,13.39,18.82,7.5,7.93,55.78,中度混改,尚未发生混改
101437,000998,隆平高科,2025-12-31,1469448061.0,155037433.0,1314410628.0,152477763.0,10.3765,5.0,0,9.59,40.07,0.2393,38.0556,31.4633,0.5968,0.852,5.82,18.18,12.38,8.31,9.67,54.36,中度混改,尚未发生混改
106482,600520,三佳科技,2025-12-31,158430000.0,,158430000.0,,,4.0,0,8.13,25.17,0.323,47.7113,47.7113,0.5078,0.916,5.79,16.62,13.47,9.59,8.56,54.03,中度混改,尚未发生混改
106373,600668,尖峰集团,2025-12-31,412900594.0,,412900594.0,,,3.0,0,9.84,25.99,0.3786,60.9288,60.9288,0.4817,0.8587,6.92,13.24,14.28,10.35,8.66,53.44,中度混改,尚未发生混改
104384,601162,天风证券,2024-12-31,8665757464.0,,8665757464.0,,,4.0,0,8.71,32.71,0.2663,57.2273,36.2917,0.563,0.8662,5.64,16.29,13.59,8.77,8.97,53.25,中度混改,尚未发生混改
105832,600322,津投城开,2024-12-31,1105700000.0,0.0,1105700000.0,,,4.0,0,9.15,34.13,0.2681,53.1977,36.6293,0.5665,0.8331,5.84,16.04,13.39,8.78,8.99,53.04,中度混改,尚未发生混改
101461,002276,万马股份,2024-12-31,1014289836.0,9206500.0,1005083336.0,,,5.0,0,8.2,33.73,0.2431,32.1191,32.1191,0.5951,0.8382,5.25,18.08,11.95,8.41,8.72,52.4,中度混改,尚未发生混改
102757,300024,机器人,2024-12-31,1565619950.0,32321996.0,1533297954.0,,,5.0,0,8.21,34.3,0.2394,32.6052,31.468,0.5979,0.8386,5.23,18.08,11.96,8.31,8.78,52.36,中度混改,尚未发生混改
106177,600552,凯盛科技,2025-12-31,944606894.0,,944606894.0,,,5.0,0,8.64,37.92,0.2278,29.5082,29.5082,0.6119,0.8304,5.33,18.02,11.61,8.07,9.14,52.16,中度混改,尚未发生混改
105983,600125,铁龙物流,2025-12-31,1305521874.0,,1305521874.0,,,4.0,0,9.73,42.04,0.2314,61.195,30.1145,0.6138,0.7619,5.82,15.48,13.25,8.12,9.37,52.04,中度混改,尚未发生混改
