InstitutionID,Symbol,ShortName,EndDate,Year,MixedEquityStructureOrNOT,MixedEquityStructureGenericFlag,StateOwnedShareholderRatioSum,NonStateOwnedShareholderRatioSum,NSttOwnedShrhlderRatioSum,NSttOwnedShrhlderPartic,EquityStructureDiversity,OwnershipConcentration,Top1ShareholderRatio,EquityBalance,EquityIntegration,EquityStrucHerfindalIndex,EquityStrucEntropyIndex,Top10HolderCount,HolderGroupCoverage,state_owned,private_corporate,listed_company,financial_institution,foreign,natural_person,other,Score_ExternalCapitalParticipation,Score_ShareholderDiversity,Score_EquityChecksAndBalances,Score_EquityIntegration,Score_GovernanceOpenness,MixedEquityStructureScore,MixedEquityStructureLevel,Score_NonStateCapital,Score_EquityDiversity,Score_EquityBalance,Score_OpenGovernance,MixedOwnershipScore,MixedOwnershipLevel
1,000001,,2026-03-31,2026,1,1,2.99,61.65,61.65,0.953743811881188,3,64.64,49.56,1.2439467312348669,20.618729096989966,0.8291466044229732,0.3701278323491022,10,1.0,2.99,0.0,0.0,58.71,2.94,0.0,0.0,30.0,9.34,10.18,13.98,6.09,69.67,较高成熟,30.0,9.27,10.06,6.05,69.35,深度混改
2,000002,,2026-03-31,2026,1,1,28.98,21.98,21.98,0.4313186813186813,4,50.96,27.18,0.808682855040471,0.7584541062801933,0.4746841799151734,0.8431652055308274,10,1.0,28.98,0.0,0.0,1.98,19.72,0.28,0.0,22.5,16.74,12.07,8.62,12.59,72.53,较高成熟,22.5,16.67,11.99,12.55,72.34,深度混改
4,000004,,2026-03-31,2026,0,0,23.85,8.38,8.38,0.2600062053986969,2,32.23,18.29,0.4581738655002734,0.3513626834381552,0.6151940428942648,0.5730634076832601,10,1.0,23.85,0.0,0.0,0.0,0.0,8.38,0.0,5.45,7.14,10.72,6.26,7.12,36.72,初步成熟,5.45,7.07,10.62,7.08,36.47,初步混改
6,000006,,2026-03-31,2026,0,0,38.18,4.550000000000001,4.550000000000001,0.1064825649426632,4,42.73,21.93,0.2074783401732786,0.1191723415400733,0.8031370435153894,0.4430084869252513,10,1.0,38.18,0.0,0.0,0.84,1.11,2.6,0.0,2.71,12.97,7.48,2.95,6.33,32.57,初步成熟,2.71,12.91,7.37,6.29,32.24,初步混改
7,000007,,2026-03-31,2026,1,1,20.6,27.42,27.42,0.571012078300708,4,48.02,12.99,2.110854503464203,1.3310679611650484,0.3512085673035375,1.1381201215075996,10,1.0,20.6,0.0,0.0,8.18,1.45,17.79,0.0,25.83,17.87,17.83,9.92,13.91,85.38,高度成熟,25.83,17.87,17.85,13.91,85.38,高度融合混改
8,000008,,2026-03-31,2026,0,0,39.98,5.67,5.67,0.1242059145673603,3,45.65,26.23,0.2161646969119329,0.1418209104552276,0.7760314023194239,0.4505107597918176,10,1.0,39.98,0.0,0.0,0.0,1.67,4.0,0.0,3.32,10.04,7.51,3.46,7.01,31.42,初步成熟,3.32,9.96,7.4,6.96,31.11,初步混改
9,000009,,2026-03-31,2026,0,0,42.82,6.76,6.76,0.136345300524405,4,49.58,19.14,0.3531870428422152,0.1578701541335824,0.756676941492075,0.5011103070363908,10,1.0,42.82,0.0,0.0,1.0,0.77,4.99,0.0,3.87,13.49,8.42,3.8,8.02,37.65,初步成熟,3.87,13.4,8.34,7.96,37.36,初步混改
10,000010,,2026-03-31,2026,1,1,21.87,12.13,12.13,0.3567647058823529,3,34.0,8.7,1.3942528735632185,0.5546410608139003,0.4830915224913495,0.882601910951024,10,1.0,21.87,0.0,0.0,4.25,0.0,7.88,0.0,17.75,13.99,15.21,7.72,10.26,64.91,较高成熟,17.75,13.94,15.17,10.23,64.8,深度混改
11,000011,,2026-03-31,2026,0,0,60.02,2.97,2.97,0.0471503413240196,4,62.99,50.87,0.0583841163750737,0.0494835054981672,0.908698354511678,0.2406632633201032,10,1.0,60.02,0.0,0.0,0.69,1.18,1.1,0.0,1.61,11.27,3.17,1.04,5.0,22.27,初步成熟,1.61,11.17,3.02,4.93,21.77,初步混改
12,000012,,2026-03-31,2026,1,1,3.96,26.020000000000003,26.020000000000003,0.8679119412941962,4,29.98,15.33,1.697325505544684,6.570707070707072,0.5433462201396438,0.8591474673684911,10,1.0,3.96,0.0,0.0,21.35,4.0600000000000005,0.61,0.0,26.15,16.85,16.07,12.45,9.09,80.78,高度成熟,26.15,16.79,16.1,9.06,80.56,高度融合混改
