stock_code,top_shareholder_name,top_shareholder_ratio,top_shareholder_shares,top_shareholder_date,top_shareholder_rank,top_shareholder_share_class
000001,中国平安保险(集团)股份有限公司-集团本级-自有资金,49.56,9618540236.0,2025-03-31,1,流通A股
000002,深圳市地铁集团有限公司,27.18,3242810791.0,2025-03-31,1,流通A股
000004,深圳中农大科技投资有限公司,18.29,24206848.0,2025-03-31,1,流通A股
000006,深圳市人民政府国有资产监督管理委员会,21.93,296031373.0,2025-03-31,1,流通A股
000007,汉富控股有限公司,12.99,45000127.0,2025-03-31,1,流通A股
000008,中国国投高新产业投资有限公司,26.23,712418457.0,2025-03-31,1,流通A股
000009,深圳市承兴投资有限公司,17.55,452559574.0,2025-03-31,1,流通A股
000010,深圳宝立盛实业发展合伙企业(有限合伙),8.7,100000000.0,2025-03-31,1,未流通股
000011,深圳市投资控股有限公司,50.87,303144937.0,2025-03-31,1,"未流通股,流通A股"
000012,前海人寿保险股份有限公司-海利年年,15.19,466386874.0,2025-03-31,1,流通A股
000014,深业沙河(集团)有限公司,34.02,82336070.0,2025-03-31,1,流通A股
000016,华侨城集团有限公司,21.75,523746932.0,2025-03-31,1,流通A股
000017,万胜实业控股(深圳)有限公司,20.0,137836986.0,2025-03-31,1,未流通股
000019,深圳农业与食品投资控股集团有限公司,63.79,735237253.0,2025-03-31,1,"未流通股,流通A股"
000020,武汉中恒新科技产业集团有限公司,42.13,119289894.0,2025-03-31,1,流通A股
000021,中国电子有限公司,34.51,538558777.0,2025-03-31,1,流通A股
000025,深圳市特发集团有限公司,49.09,211591621.0,2025-03-31,1,流通A股
000026,中航国际控股有限公司,40.17,162977327.0,2025-03-31,1,流通A股
000027,深圳市人民政府国有资产监督管理委员会,43.91,2088856782.0,2025-03-31,1,流通A股
000028,国药控股股份有限公司,56.06,311999988.0,2025-03-31,1,"未流通股,流通A股"
000029,深圳市投资控股有限公司,55.78,564353838.0,2025-03-31,1,流通A股
000030,一汽股权投资(天津)有限公司,25.38,441995373.0,2025-03-31,1,流通A股
000031,明毅有限公司,49.28,2112138742.0,2025-03-31,1,流通A股
000032,中国中电国际信息服务有限公司,17.81,202650154.0,2025-03-31,1,流通A股
000034,郭为,21.76,154777803.0,2025-03-31,1,"未流通股,流通A股"
000035,南通乾创投资有限公司,16.32,408150083.0,2025-03-31,1,流通A股
000036,华联发展集团有限公司,28.21,418670959.0,2025-03-31,1,流通A股
000037,香港南海洋行(国际)有限公司,15.28,92123248.0,2025-03-31,1,流通B股
000039,香港中央结算,58.56,3157699079.0,2025-03-31,1,"流通A股,流通H股"
000042,深圳中洲集团有限公司,52.63,349874513.0,2025-03-31,1,流通A股
000045,深圳市投资控股有限公司,46.21,234069436.0,2025-03-31,1,流通A股
000048,深圳市京基时代实业有限公司,29.45,156183392.0,2025-03-31,1,流通A股
000049,惠州市创新投资有限公司,23.2,89239275.0,2025-03-31,1,流通A股
000050,厦门金财产业发展有限公司,15.85,389610040.0,2025-03-31,1,流通A股
000055,深圳市邦林科技发展有限公司,11.11,119332846.0,2025-03-31,1,流通A股
000056,深圳市皇庭产业控股有限公司,14.97,181126900.0,2025-03-31,1,流通A股
000058,深圳市赛格集团有限公司,56.54,696163182.0,2025-03-31,1,流通A股
000059,北方华锦化学工业集团有限公司,27.16,434445409.0,2025-03-31,1,流通A股
000060,广东省广晟控股集团有限公司,34.9,1304407036.0,2025-03-31,1,流通A股
000061,深圳农业与食品投资控股集团有限公司,34.0,576917663.0,2025-03-31,1,流通A股
000062,深圳华强集团有限公司,58.33,610045151.0,2025-03-31,1,流通A股
000063,中兴新通讯有限公司,20.09,960978400.0,2025-03-31,1,"流通A股,流通H股"
000065,中国北方工业有限公司,40.37,431872107.0,2025-03-31,1,流通A股
000066,中国电子有限公司,39.35,1269203475.0,2025-03-31,1,流通A股
000068,深圳市华融泰资产管理有限公司,26.48,266533049.0,2025-03-31,1,流通A股
000069,华侨城集团有限公司,48.78,3920562506.0,2025-03-31,1,"未流通股,流通A股"
000070,深圳市特发集团有限公司,36.18,325721489.0,2025-03-31,1,流通A股
000078,深圳海王集团股份有限公司,46.23,1216445128.0,2025-03-31,1,流通A股
000088,深圳港集团有限公司,68.36,3554364604.0,2025-03-31,1,"未流通股,流通A股"
000089,深圳市机场(集团)有限公司,56.97,1168295532.0,2025-03-31,1,流通A股
000090,深圳市特区建工集团有限公司,23.47,438637781.0,2025-03-31,1,流通A股
000096,深圳市广聚投资控股(集团)有限公司,55.54,293270377.0,2025-03-31,1,"未流通股,流通A股"
000099,中国中海直有限责任公司,30.18,234119474.0,2025-03-31,1,流通A股
000100,李东生及其一致行动人,6.74,1265347805.0,2025-03-31,1,"未流通股,流通A股"
000151,中国成套设备进出口集团有限公司,39.79,134252133.0,2025-03-31,1,"未流通股,流通A股"
000153,安徽省无为制药厂,10.8,50178992.0,2025-03-31,1,流通A股
000155,四川省能源投资集团有限责任公司,30.43,561714254.0,2025-03-31,1,流通A股
000156,华数数字电视传媒集团有限公司,36.43,675088049.0,2025-03-31,1,"未流通股,流通A股"
000157,香港中央结算(代理人)有限公司(HKSCCNOMINEESLIMITED),18.19,1578509121.0,2025-03-31,1,流通H股
000158,石家庄常山纺织集团有限责任公司,28.6,457183585.0,2025-03-31,1,流通A股
000159,新疆融能投资发展有限公司,22.82,109708888.0,2025-03-31,1,流通A股
000166,中国建银投资有限责任公司,26.34,6596306947.0,2025-03-31,1,流通A股
000301,江苏盛虹科技股份有限公司,43.05,2845883535.0,2025-03-31,1,流通A股
000333,美的控股有限公司,28.32,2169178713.0,2025-03-31,1,流通A股
000338,香港中央结算代理人有限公司,22.22,1938983635.0,2025-03-31,1,流通H股
000400,中国电气装备集团有限公司,37.91,386286454.0,2025-03-31,1,流通A股
000401,北京金隅集团股份有限公司,44.34,1178645057.0,2025-03-31,1,"未流通股,流通A股"
000402,北京金融街投资(集团)有限公司,31.14,930708153.0,2025-03-31,1,流通A股
000403,共青城胜帮英豪投资合伙企业(有限合伙),21.03,153752812.0,2025-03-31,1,流通A股
000404,四川长虹电器股份有限公司,30.6,212994972.0,2025-03-31,1,流通A股
000407,中油燃气投资集团有限公司,22.16,195027219.0,2025-03-31,1,流通A股
000408,西藏藏格创业投资集团有限公司,23.03,361588493.0,2025-03-31,1,流通A股
000409,山东能源集团有限公司,35.18,238635898.0,2025-03-31,1,"未流通股,流通A股"
000410,中国通用技术(集团)控股有限责任公司,42.9,885753003.0,2025-03-31,1,"未流通股,流通A股"
000411,浙江省国际贸易集团有限公司,28.9,150846487.0,2025-03-31,1,"未流通股,流通A股"
000415,海航资本集团有限公司,28.02,1732654212.0,2025-03-31,1,"未流通股,流通A股"
000417,合肥市建设投资控股(集团)有限公司,38.0,296390467.0,2025-03-31,1,流通A股
000419,长沙通程实业(集团)有限公司,44.33,240972484.0,2025-03-31,1,流通A股
000420,吉林化纤集团有限责任公司,12.94,318067074.0,2025-03-31,1,流通A股
000421,南京公用控股(集团)有限公司,49.24,283659711.0,2025-03-31,1,流通A股
000422,湖北宜化集团有限责任公司,20.8,225160344.0,2025-03-31,1,流通A股
